name,count,isRequire
英語コミュニケーションIIb,15,true
英語コミュニケーションIIa,15,true
感性をはかる,15,true
臨地実務実習II,20,true
人工知能システム開発II,45,false
IoTサービスデザイン,30,false
組込みC，C++言語,30,true
力学,15,false
Pythonプログラミング,15,false
データ解析,15,false
キャリアガイダンスII,8,true
英語コミュニケーションIb,30,true
ソリューション開発I,30,true
IoTシステム開発I,45,false
組込みシステム制御実習,45,false
自動制御機械開発実習,45,false
コンピュータシステム,15,true
プログラミング概論,15,true
技術英語,15,true
ソフトウェアシステム開発,30,true
自然言語処理,15,false
人工知能数学,15,false
機械学習,30,false
深層学習,30,false
IoTデバイスプログラミングⅠI,15,false
サーバ・ネットワーク,15,false
機械設計,30,false
制御工学基礎,15,false
卒業研究制作,,true
企画・発想法,15,true
英語コミュニケーションIIIb,30,true
臨地実務実習III,30,true
人工知能応用,30,false
情報工学概論,15,true
情報セキュリティ応用,15,true
画像・音声認識,30,false
IoTデバイスプログラミングⅠ,15,false
IoTデバイスプログラミングⅠII,30,false
C言語基礎,30,true
キャリアガイダンスI,8,true
英語コミュニケーションIa,30,true
英語コミュニケーションIIIa,30,true
英語コミュニケーションIV,15,true
臨地実務実習I,20,true
ソリューション開発II,60,true
人工知能システム開発I,30,false
メディア情報処理,15,false
IoTシステム開発II,45,false
産業用ロボット実習,30,false
デザインエンジニアリング概論,30,true
回路・プリント基板設計,30,true
データベース基礎と応用,15,true
人工知能基礎,15,false
デバイス・ネットワーク,15,false
ロボット機構,30,false
ロボット制御,30,false
センサ・アクチュエータ,15,false
地域共創デザイン実習,90,true
グローバル市場化戦略,15,true
エレクトロニクス工学,30,true
線形代数,15,true
情報数学,15,true
プロジェクトマネジメント,15,true
コミュニケーションツール,15,true
比較文化論,15,true
解析学,15,true
コミュニケーションと記号論,15,true
コンテンツデザイン概論,15,true
数学演習,30,true
基礎英語,15,false
